,precision,recall,f1-score,support
0,0.616822429906542,0.532258064516129,0.5714285714285714,124.0
1,0.8469055374592834,0.9629629629629629,0.901213171577123,270.0
2,0.4536082474226804,0.34554973821989526,0.3922734026745914,382.0
3,0.0,0.0,0.0,63.0
4,0.0,0.0,0.0,7.0
5,0.0,0.0,0.0,35.0
6,0.30434782608695654,0.13725490196078433,0.1891891891891892,153.0
7,0.0,0.0,0.0,24.0
8,0.7446808510638298,0.8945686900958466,0.8127721335268505,313.0
9,0.0,0.0,0.0,68.0
10,0.8484848484848485,0.9256198347107438,0.8853754940711462,121.0
11,0.6028751123090745,0.8635778635778636,0.71005291005291,777.0
12,0.7446808510638298,0.45454545454545453,0.5645161290322581,77.0
13,0.3333333333333333,0.1346153846153846,0.1917808219178082,52.0
accuracy,0.6423357664233577,0.6423357664233577,0.6423357664233577,0.6423357664233577
macro avg,0.3925527883664556,0.3750680639432189,0.37275727310503204,2466.0
weighted avg,0.5692836733610018,0.6423357664233577,0.5919134847175342,2466.0
