,precision,recall,f1-score,support
0,0.6666666666666666,0.41935483870967744,0.5148514851485149,124.0
1,0.8865248226950354,0.9259259259259259,0.9057971014492754,270.0
2,0.46178343949044587,0.3795811518324607,0.4166666666666667,382.0
3,0.0,0.0,0.0,63.0
4,0.0,0.0,0.0,7.0
5,0.0,0.0,0.0,35.0
6,0.3194444444444444,0.1503267973856209,0.20444444444444446,153.0
7,0.0,0.0,0.0,24.0
8,0.78,0.8722044728434505,0.8235294117647058,313.0
9,0.1,0.014705882352941176,0.02564102564102564,68.0
10,0.9365079365079365,0.9752066115702479,0.9554655870445344,121.0
11,0.5785837651122625,0.8622908622908623,0.6925064599483204,777.0
12,0.7333333333333333,0.5714285714285714,0.6423357664233577,77.0
13,0.4666666666666667,0.1346153846153846,0.208955223880597,52.0
accuracy,0.6419302514193025,0.6419302514193025,0.6419302514193025,0.6419302514193025
macro avg,0.4235365053511994,0.37897432135393877,0.3850137980293888,2466.0
weighted avg,0.5846938450213699,0.6419302514193025,0.5970706183742711,2466.0
