model,seed,accuracy,macro_f1,macro_recall
FullFT p8 + MeanPooling,42,0.6480129764801298,0.37655223972776974,0.37149385613929015
FullFT p8 + MeanPooling,1337,0.6536901865369019,0.39238211564263864,0.3960460796375811
FullFT p8 + MeanPooling,0,0.656934306569343,0.38064131644264193,0.38529370753164155
FullFT p8 + MeanPooling,7,0.6334144363341444,0.3674421755877361,0.3709825583008283
FullFT p8 + MeanPooling,99,0.64882400648824,0.3734879375002837,0.3725796473378546
FullFT p8 + MeanPooling,123,0.6423357664233577,0.3713029662959017,0.37682619332793726
FullFT p8 + MeanPooling,256,0.6443633414436334,0.3927276819577107,0.39991154806408735
FullFT p8 + MeanPooling,512,0.6273317112733171,0.36810500701786086,0.3690920056353351
FullFT p8 + MeanPooling,2024,0.6407137064071371,0.37743210010669975,0.37567866232789066
FullFT p8 + MeanPooling,314,0.6390916463909164,0.3564895351151684,0.36153134967154416
FullFT p8 + MHA (4 heads),42,0.6516626115166261,0.36901885631361225,0.37129131292997614
FullFT p8 + MHA (4 heads),1337,0.6399026763990268,0.3703941276535306,0.37110603558516064
FullFT p8 + MHA (4 heads),0,0.6358475263584753,0.37082053647166047,0.37438611347249257
FullFT p8 + MHA (4 heads),7,0.6301703163017032,0.344114488526763,0.34299712551505024
FullFT p8 + MHA (4 heads),99,0.6520681265206812,0.3849689308145422,0.3879657376946504
FullFT p8 + MHA (4 heads),123,0.6455798864557989,0.38172884338243956,0.3795378597965976
FullFT p8 + MHA (4 heads),256,0.6338199513381995,0.36737763038021415,0.3745680478913965
FullFT p8 + MHA (4 heads),512,0.6403081914030819,0.36873533864692315,0.3716020241203779
FullFT p8 + MHA (4 heads),2024,0.6346309813463098,0.36432618990438187,0.36610488717827255
FullFT p8 + MHA (4 heads),314,0.6386861313868614,0.37950062460371264,0.39160039039122235
FullFT p8 + LoRA p64 + MeanPool Concat,42,0.6443633414436334,0.3657099797862626,0.3657355249537248
FullFT p8 + LoRA p64 + MeanPool Concat,1337,0.6346309813463098,0.388776282976793,0.38506389297070864
FullFT p8 + LoRA p64 + MeanPool Concat,0,0.6589618815896188,0.38880937911404345,0.3848253203457097
FullFT p8 + LoRA p64 + MeanPool Concat,7,0.6524736415247364,0.3864012506924364,0.38707804898177295
FullFT p8 + LoRA p64 + MeanPool Concat,99,0.64882400648824,0.3798106908189767,0.38775459944433516
FullFT p8 + LoRA p64 + MeanPool Concat,123,0.6492295214922952,0.36409124690481826,0.3642998326706949
FullFT p8 + LoRA p64 + MeanPool Concat,256,0.648418491484185,0.3890699054921611,0.38504529457921793
FullFT p8 + LoRA p64 + MeanPool Concat,512,0.6492295214922952,0.3771354867429239,0.37419499062070166
FullFT p8 + LoRA p64 + MeanPool Concat,2024,0.6386861313868614,0.37590787230029227,0.3761649349134202
FullFT p8 + LoRA p64 + MeanPool Concat,314,0.6492295214922952,0.38069725393136233,0.3882915370154782
LoRA p64 + FullFT p8 + Cascade,42,0.6439578264395782,0.3662959590043401,0.3647657638758834
LoRA p64 + FullFT p8 + Cascade,1337,0.6451743714517437,0.38208991813175086,0.3879272805236676
LoRA p64 + FullFT p8 + Cascade,0,0.6411192214111923,0.3627559618726142,0.36267466442249274
LoRA p64 + FullFT p8 + Cascade,7,0.6301703163017032,0.3606684491276949,0.3561590241837805
LoRA p64 + FullFT p8 + Cascade,99,0.6305758313057583,0.3671188472922426,0.3780498384300679
LoRA p64 + FullFT p8 + Cascade,123,0.6524736415247364,0.38898136940460126,0.39394288401003746
LoRA p64 + FullFT p8 + Cascade,256,0.6549067315490673,0.38625458837631027,0.37883908853726306
LoRA p64 + FullFT p8 + Cascade,512,0.6167883211678832,0.33238313025260346,0.3410006965430454
LoRA p64 + FullFT p8 + Cascade,2024,0.6313868613138686,0.37875973320628825,0.37372813270132527
LoRA p64 + FullFT p8 + Cascade,314,0.6447688564476886,0.3792287468389826,0.37891650218690126
