,precision,recall,f1-score,support
0,0.7333333333333333,0.2661290322580645,0.3905325443786982,124.0
1,0.9375,0.8888888888888888,0.9125475285171103,270.0
2,0.43717277486910994,0.43717277486910994,0.43717277486910994,382.0
3,0.0,0.0,0.0,63.0
4,0.0,0.0,0.0,7.0
5,0.0,0.0,0.0,35.0
6,0.2,0.006535947712418301,0.012658227848101266,153.0
7,0.0,0.0,0.0,24.0
8,0.7755681818181818,0.8722044728434505,0.8210526315789474,313.0
9,0.0,0.0,0.0,68.0
10,0.8796992481203008,0.9669421487603306,0.9212598425196851,121.0
11,0.5743243243243243,0.8751608751608752,0.6935237123916369,777.0
12,0.65,0.8441558441558441,0.7344632768361582,77.0
13,0.6666666666666666,0.11538461538461539,0.19672131147540983,52.0
accuracy,0.6415247364152473,0.6415247364152473,0.6415247364152473,0.6415247364152473
macro avg,0.41816175208085127,0.3766124714309712,0.3657094178867756,2466.0
weighted avg,0.5765699310347313,0.6415247364152473,0.5830752622602747,2466.0
