,precision,recall,f1-score,support
0,0.6716417910447762,0.3629032258064516,0.4712041884816754,124.0
1,0.9264705882352942,0.9333333333333333,0.9298892988929889,270.0
2,0.5265700483091788,0.28534031413612565,0.3701188455008489,382.0
3,0.0,0.0,0.0,63.0
4,0.0,0.0,0.0,7.0
5,0.5,0.02857142857142857,0.05405405405405406,35.0
6,0.23469387755102042,0.1503267973856209,0.18326693227091634,153.0
7,0.0,0.0,0.0,24.0
8,0.811965811965812,0.9105431309904153,0.858433734939759,313.0
9,0.0,0.0,0.0,68.0
10,0.8740740740740741,0.9752066115702479,0.921875,121.0
11,0.5677626303127506,0.9111969111969112,0.6996047430830039,777.0
12,0.7945205479452054,0.7532467532467533,0.7733333333333333,77.0
13,0.5,0.1346153846153846,0.21212121212121213,52.0
accuracy,0.6512570965125709,0.6512570965125709,0.6512570965125709,0.6512570965125709
macro avg,0.4576928121027222,0.3889488493466195,0.39099295304841375,2466.0
weighted avg,0.5986319832463682,0.6512570965125709,0.5982250813836616,2466.0
