Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
Mask Only,0.570154095701541,0.3850349325932782,0.3182054648508013,0.3237021339068954,0.5161706654236089,0.570154095701541,0.5230736590271461
Mean Pooling,0.6111111111111112,0.43990173255944703,0.36734862073574553,0.37717074648340637,0.560913228942026,0.6111111111111112,0.567218430956803
Attention (shared_context),0.5940794809407948,0.41559230905720046,0.3589842249339871,0.3648539922257248,0.5344102492017422,0.5940794809407948,0.5491763145906936
Attention (independent_context),0.6123276561232766,0.44443405419392457,0.3593614934584141,0.37165832711160013,0.5627633797834256,0.6123276561232766,0.5627054570844137
MHA-4 (shared_context),0.6070559610705596,0.4898560370216713,0.38013425981967924,0.39282074798090777,0.5531686754806671,0.6070559610705596,0.5570630562179337
MHA-8 (shared_context),0.602595296025953,0.448272353991144,0.3602731929510696,0.36867720449254293,0.5578949357562772,0.602595296025953,0.559025371860029
MHA-16 (shared_context),0.6180048661800487,0.4715706198416331,0.38075826986994116,0.39900926125649716,0.570050372628115,0.6180048661800487,0.5727883776365218
MHA-32 (shared_context),0.6184103811841039,0.4525240104500558,0.3831281249205788,0.3941306136410483,0.5545033795355786,0.6184103811841039,0.5702049167225651
MHA-64 (shared_context),0.6082725060827251,0.45601947607532173,0.3761288140802222,0.3880778983410283,0.5537381741782134,0.6082725060827251,0.5647991731692658
MHA-128 (shared_context),0.6066504460665044,0.5012005721719931,0.38667459693545764,0.4033619494248296,0.5631706722979949,0.6066504460665044,0.5699253025869547
MHA-384 (shared_context),0.6030008110300081,0.4345286888792518,0.3748931267062295,0.38381134215003115,0.5551642428254603,0.6030008110300081,0.5668586090708093
MHA-4 (independent_context),0.6030008110300081,0.4764648804023746,0.38449616488561345,0.39482392599645744,0.5516915448554685,0.6030008110300081,0.5545925449158615
MHA-8 (independent_context),0.6046228710462287,0.4266911884387373,0.3860394548886074,0.38940094031179523,0.5495649439140738,0.6046228710462287,0.5659638173365955
MHA-16 (independent_context),0.6103000811030008,0.4435258746405167,0.3628722587812013,0.37235577463873015,0.5592896447671828,0.6103000811030008,0.5580994132762673
MHA-32 (independent_context),0.6062449310624494,0.4093364901480295,0.36419988875599973,0.3673930477522013,0.5464176569450699,0.6062449310624494,0.5584874059397994
MHA-64 (independent_context),0.6058394160583942,0.42313799788173956,0.35750212912489704,0.3642658088461727,0.5506263132087252,0.6058394160583942,0.5608823540491297
MHA-128 (independent_context),0.6074614760746148,0.49522058803957825,0.37200725084479636,0.38767412156184344,0.5574078130381676,0.6074614760746148,0.5638227730786428
MHA-384 (independent_context),0.615977291159773,0.5077886907584739,0.40639263140982634,0.4282132601103911,0.5678779826331815,0.615977291159773,0.5711410838388862
Hierarchical (shared_context),0.5762368207623683,0.4308348990885676,0.33317195809255634,0.3282191750291456,0.48877317827534444,0.5762368207623683,0.48336355159982763
Hierarchical (independent_context),0.5993511759935117,0.3944069807862777,0.36905968601728567,0.351915732146415,0.5432968935910003,0.5993511759935117,0.537411162480824
